Unnamed: 0,date,user,id,retweet_count,like_count,tweet_location,tweet_content,Airline,airline_sentiment,airline_sentiment_confidence,latitude,longitude,Predicted_Sentiment,Sentiment_Confidence,Sentiment_Method
4715,2020-06-25 07:01:45+00:00,Vasanth48404091,1.27605e+18,0,0,,"@airindiain @MoCA_GoI 
Wrote multiple mails to #AirIndia and tweets. No reply. Can the aviation dept look into this and save customers during pandemic time. In crisis government should help instead its funishing us. Huge financial burden for so many us.",airindia,negative,1.0,22.7206,75.8472,Negative,0.3508521497249603,ensemble
2098,2020-07-16 01:48:28+00:00,artistraj17,1.28358e+18,0,0,"Navi Mumbai, India","NO UNEMPLOYMENT IN INDIA

#airindia #airindiaexpress #indianairlines 
#airport #airports #airwaysmagazine #airindiamaharaja #privatisation #layoffs #unemployment #unemploymentinindia 
#newindia #NewIndiaNewEconomy https://t.co/WMXsy3Y3Xl",airindia,negative,1.0,28.99,77.7,Neutral,0.438725745677948,ensemble
4608,2020-06-26 14:17:11+00:00,justinnen,1.27652e+18,0,0,"Toronto, Ontario","@HardeepSPuri @MEAIndia @MoCA_GoI @AAI_Official @airindiain @airvistara @goairlinesindia @MIB_India @indiandiplomats Like I said before, the day international flights starts, Air India will collapse. People are so frustrated that they will avoid #airindia at all cost. The collapse is not that far. Probably they will survive for few more months with the money they made with #VBM.",airindia,neutral,1.0,24.75,85.0167,Negative,0.6482487833976746,ensemble
5900,2020-06-15 06:04:53+00:00,Gunjan_pro,1.27241e+18,0,1,"Rajasthan, India","#AirIndia #flyingbeats #govt_of_india  @flyingbeast320  we support on your issues. 
https://t.co/3EVYuzkpND",airindia,negative,1.0,22.2492,84.8828,Positive,0.48162230119705196,ensemble
5998,2020-06-14 12:04:48+00:00,Amanvij89,1.27214e+18,0,0,,@airindiain 1) App and website not in sync- ticket for wrong passenger was issued ticket cancelled within 1 min but your website still show the booking active ... #VandeBharatMission3 #airindia,airindia,negative,1.0,29.6804,76.97,Negative,0.5090135431289673,ensemble
3558,2020-07-03 20:20:16+00:00,i_ssandal,1.27915e+18,0,0,"Mohali, India",@HardeepSPuri @airindiain @MEAIndia @flyspicejet @IndiGo6E @airvistara @goairlinesindia @MoCA_GoI @AAI_Official @PIBHindi @PIB_India @MIB_India @indiandiplomats People with cancelled flights are still stuck in Germany. Please add more flights from Frankfurt #VandeBharatMissionphase4 #VandeBharatMission #AirIndia,airindia,positive,0.6354,31.1033,77.1722,Negative,0.40843130836486813,ensemble
5166,2020-06-20 19:52:36+00:00,FauzanFazl,1.27443e+18,2,1,,@EconomicTimes Unsuccessful #JetAirways Bidders if serious about entering Indian skies they can look at taking over &amp; reviving other defunct Airlines @flykingfisher @aircostaindia @shysont #AirPegasus @aircarnivalind @Airmantra @airdeccan #FlyKingfisher #AirCosta #AirCarnival #AirMantra,jetairways,negative,1.0,14.4667,75.9167,Neutral,0.48111416101455684,ensemble
3315,2020-07-06 08:06:48+00:00,PranayPrasun,1.28005e+18,0,0,London || Bengaluru || Patna ,#spicejet looks like consolidation over. Again it may move towards 60 level #pranay_charts https://t.co/LfDInnzQlj https://t.co/yRPVayjMYz,spicejet,neutral,1.0,19.0833,74.7333,Neutral,0.4217664241790771,ensemble
5626,2020-06-17 08:24:34+00:00,madhuho86,1.27317e+18,0,0,Bangalore,"@HardeepSPuri Dear sir. 
I Have booked a ticket from Frankfurt to Bengaluru in 17th but flight got cancelled and now we do not have any information about out tickets. #AirIndia is not giving any information about our tickets status.",airindia,neutral,1.0,31.1033,77.1722,Negative,0.6362392492294312,ensemble
4055,2020-06-29 17:40:00+00:00,somyavishnoi,1.27766e+18,0,0,"Pune, India","Bt with the matter of fact ,it was a big struggle calling on air india customer care.the othr executives disconnected the call after putting it on hold for half n hr.i have to struggle for 5 hrs to get the issue resolved.thats bad really bad fir baat hoti he vocal4locl #AirIndia",airindia,negative,1.0,13.33,77.1,Negative,0.8391970319747925,ensemble
